After a network is upgraded, what must be done with a behavior‐based IDS?	Upgrade the baseline.
What is MDR?	Managed detection and response (MDR) focuses on threat detection and mediation, but is not limited to the scope of endpoints. MDR is a service that attempts to monitor an IT environment in real time in order to quickly detect and resolve threats. Often an MDR solution is a combination and integration of numerous technologies, including SIEM, network traffic analysis (NTA), EDR, and IDS.
What is SOAR?	Security orchestration, automation, and response (SOAR) technologies automate responses to incidents. One of the primary benefits is that this reduces the workload of administrators. It also removes the possibility of human error by having computer systems respond.
What is Structured Threat Information eXpression (STIX)?	A standardized language expressing structured information about cyberthreats and a common framework for organizations to share and analyze threat intelligence
What is the best protection against a computer joining a botnet?	Up‐to‐date antivirus software
What is the importance of retaining investigatory data?	Because you will discover some incidents after they have occurred, you will lose valuable evidence unless you ensure that critical log files are retained for a reasonable period of time. You can retain log files and system status information either in place or in archives.
What is the leading reason many incidents are not reported?	Because they are not recognized as incidents
What is the purpose of monitoring and uses of monitoring tools?	Monitoring is used to hold subjects accountable for their actions and to detect abnormal or malicious activities. It is also used to monitor system performance. Monitoring tools such as IDSs or SIEMs automate continuous monitoring and provide real‐time analysis of events, including monitoring what happens inside a network, traffic entering a network, and traffic leaving a network (also known as egress monitoring). Log management includes analyzing logs and archiving logs.
What is threat hunting?	Threat hunting is the activity of looking for existing evidence of a compromise once symptoms or an IoC (indicator of compromise) of an exploit become known.
What is Trusted Automated eXchange of Intelligence Information (TAXII)?	Defines protocols and services for automated sharing of structured threat information
What is XDR?	Extended detection and response (XDR) components often include EDR, MDR, and EPP elements. Also, XDR is not solely focused on endpoints, but often includes NTA, NIDS, and NIPS functions as well.
What kind of system is designed to detect intrusions, breaches, or attack attempts as they are underway or after the fact?	Intrusion detection system (IDS)
What term describes any violation or threatened violation of a security policy?	Incident
What type of IDS detects attacks based by comparing it to a baseline?	Behavior‐based (also called statistical‐intrusion detection or anomaly detection)
What type of IDS detects attacks based on known methods?	Knowledge‐based (also called signature‐based or pattern‐matching)
What types of activities are labeled as auditing?	Recording of event/occurrence data, examination of data, data reduction, use of event/occurrence alarm triggers, log analysis, logging, monitoring, using alerts, intrusion detection
When an intrusion is detected, what should be the first response?	Contain or constrain the intrusion.
Where should you begin looking to find information about an incident that occurred in the recent past?	The first place to look is in the system and network log files.
Which two types of incidents are the easiest to stop by dynamically altering filtering rules?	Scanning and denial of service. They can both potentially be stopped by filtering out the offending packets.
Which type of incident generally does not cause direct damage to the victim?	Scanning. The purpose of a scanning attack is to collect information. The real damage to the system occurs in later attacks.
While containing an incident, what is the next important consideration?	Protection of evidence
Why implement basic preventive measures?	Basic preventive measures can prevent many incidents from occurring. These include keeping systems up‐to‐date, removing or deactivating unneeded protocols and services, using intrusion detection and prevention systems, using antimalware software with up‐to‐date signatures, and enabling both host‐based and network‐based firewalls.
Why is monitoring an important part of a security policy?	Monitoring is used to watch for security policy violations and to detect unauthorized or abnormal activities.
