A group of attackers is sponsored by a government. They are highly motivated, skilled, and patient and focused on a single target to gain and retain access over long periods of time. What is this group called?	Advanced persistent threat (APT)
What is cybersecurity insurance (aka cyber insurance or cyber‐risk insurance)?	Cybersecurity insurance is a type of insurance policy that provides coverage and financial protection to organizations or individuals in the event of cyber‐related incidents, data breaches, or cyberattacks. This form of insurance is designed to help mitigate the financial and legal consequences of cybersecurity breaches, which can result in data loss, financial loss, legal liabilities, and reputational damage.
What is disinformation?	Intentionally false or misleading information spread with the purpose of deceiving or manipulating people; often used as a tool for political, ideological, or malicious agendas
What is doxing?	Doxing, short for document tracing or dropping documents, involves researching and publishing private or personally identifiable information about an individual, such as their real name, address, contact details, or other sensitive data, often with malicious intent, such as harassment or public shaming. Doxing can also refer to the release of false and fabricated information. Doxing can also be used against organizations.
What is fake news?	A term used to describe deliberately fabricated news stories or hoaxes presented as genuine journalism. It can also be used to label genuine, factual, and accurate journalism as false. It often serves to misinform or deceive readers/viewers, and it may be politically motivated or created for profit.
What is false information?	Any information that is factually incorrect or inaccurate; can be created or spread unintentionally or intentionally and may or may not have a specific agenda
What is gamification as it applies to personnel security management?	Gamification is a means to encourage compliance and engagement by integrating common elements of game play into other activities, such as security compliance and behavior change.
What is generally involved in the processes of risk management?	Analyzing an environment for risks, evaluating each risk as to its likelihood and damage, assessing the cost of countermeasures, and creating a cost/benefit report to present to upper management
What is job rotation and why consider implementing it?	Job rotation is when employees are rotated into different jobs, or tasks are assigned to different employees. It may be implemented as a defense against collusion. Collusion is an agreement among multiple persons to perform some unauthorized or illegal actions.
What is micro training?	Micro training involves delivering short, focused, and bite‐sized learning modules or content to learners. These brief learning units are typically designed to be highly specific, addressing a single learning objective or a small set of related objectives in a concise and easily digestible format. Micro training is characterized by its brevity and effectiveness in conveying information, making it well suited for the fast‐paced and attention‐challenged digital age. Often, micro training is delivered via mobile apps.
What is misinformation?	Inaccurate or misleading information that is spread without malicious intent; can be the result of errors, misunderstandings, or the unintentional sharing of false information
What is propaganda?	A systematic effort to spread ideas, information, or opinions, often of a biased or misleading nature, to promote a particular cause, political viewpoint, or ideology; aims to shape public perception and behavior.
What is residual risk?	Once countermeasures are implemented, the risk that remains is known as residual risk. Residual risk is the risk that management has chosen to accept rather than mitigate.
What is risk avoidance?	Risk avoidance is the process of selecting alternate options or activities that have less associated risk than the default, common, expedient, or cheap option. For example, choosing to fly to a destination instead of drive is a form of risk avoidance. Another example is to locate a business in Arizona instead of Florida to avoid hurricanes.
What is risk deterrence?	Risk deterrence is the process of implementing deterrents to would‐be violators of security and policy. Some examples include implementation of auditing, security cameras, security guards, instructional signage, warning banners, motion detectors, strong authentication, and making it known that the organization is willing to cooperate with authorities and prosecute those who participate in cybercrime.
What is risk reporting?	Risk reporting involves the production of a risk report and a presentation of that report to the interested/relevant parties. A risk report should be accurate, timely, comprehensive of the entire organization, clear and precise to support decision making, and updated on a regular basis.
What is single loss expectancy, and how is it calculated?	The cost associated with a single realized risk against a specific asset. SLE = asset value (AV) × exposure factor (EF). The SLE is expressed as a dollar value.
What is the controls gap?	The difference between total risk and residual risk. The controls gap is the amount of risk that is reduced by implementing safeguards.
What is the cornerstone of computer security?	Education
What is the cost/benefit analysis equation for countermeasures?	(ALE before safeguard – ALE after implementing the safeguard) – annual cost of safeguard = value of the safeguard to the company
What is the Delphi technique?	The Delphi technique is an anonymous feedback‐and‐response process used to arrive at a consensus. Such a consensus gives the responsible parties the opportunity to properly evaluate risks and implement solutions.
What is the formula for computing annualized loss expectancy?	ALE = SLE × ARO [Annualized Loss Expectancy = Single Loss Expectancy × Annual Rate of Occurrence]
What is the formula for computing single loss expectancy?	SLE = AV × EF [Single Loss Expectancy = Asset Value × Exposure Factor]
What is the importance of job descriptions?	Without a job description, there is no consensus on what type of individual should be hired. Thus, crafting job descriptions is the first step in defining security needs related to personnel and being able to seek out new hires.
What is the need for a nondisclosure agreement (NDA)?	An NDA is used to protect the confidential information within an organization from being disclosed by a former employee. When a person signs an NDA, they agree not to disclose any information that is defined as confidential to anyone outside the organization.
What is the need for periodic content reviews and effectiveness evaluations?	It is important to perform periodic content reviews of all training materials. This is to ensure that the training materials and presentation stays in line with business goals, organizational mission, and security objectives. Some means of verification should be used to measure whether the training is beneficial or a waste of time and resources.
What is the purpose of vendor, consultant, and contractor controls?	Vendor, consultant, and contractor controls are used to define the levels of performance, expectation, compensation, and consequences for entities, persons, or organizations that are external to the primary organization. Often these controls are defined in a document or policy known as a service‐level agreement (SLA).
What is the Risk Maturity Model (RMM)?	The Risk Maturity Model (RMM) is a means to assess the key indicators and activities of a mature, sustainable, and repeatable risk management process. The RMM levels are ad hoc, preliminary, defined, integrated, and optimized.
What is total risk?	The amount of risk an organization would face if no safeguards were implemented. A formula for total risk is threats × vulnerabilities × asset value = total risk.
What kind of control does any mechanism, tool, or practice provide if it deters or mitigates undesirable actions or events?	Preventive control
What kind of control does any security tool provide when it's used to guide the security implementation within an organization?	Directive control
What kind of control should be used to verify the effectiveness of other security controls?	Detection control
What policy requires users to spend at least a week away from their jobs on an annual basis to help prevent fraud?	Mandatory vacations
What process identifies the actual value of assets so that assets can be prioritized?	Asset valuation
What role do humans play as a key element in security?	Humans are often considered the weakest element in any security solution. No matter what physical or logical controls are deployed, humans can discover ways to avoid them, circumvent or subvert them, or deactivate them. However, people can also become a key security asset when they are properly trained and are motivated to protect not only themselves but the security of the organization as well.
What should be considered when establishing the value of an asset?	Cost of purchase, development, maintenance, acquisition, and protection; value to owners/users/competitors; equity value; market valuation; liability of asset loss; and usefulness
What term describes the act of gathering information about a system by observing the display or watching an operator at the keyboard?	Shoulder surfing
What term is used to describe hackers rooting through trash looking for useful information?	Dumpster diving
What type of decision making is mainly concerned with metrics such as dollar values and downtime?	Quantitative
When a person attempts to deceive an insider within an organization to divulge sensitive information or to perform sensitive actions on their behalf, what might this be called?	Social engineering
Why isn't there an effective direct countermeasure against the threat of malicious hackers or crackers?	Most safeguards and countermeasures protect against one specific threat or another, but it is not possible to protect against all possible threats that a cracker represents.
Why should an organization implement security awareness, training, and education?	Awareness establishes a baseline of general security understanding. Training teaches employees to perform their work tasks in compliance with the security policy, standards, guidelines, and procedures mandated by the organization. Education is a more detailed endeavor in which students/users learn much more than they actually need to know to perform their work tasks.
