__________ controls are your first line of defense, while ________ are your last line of defense.	Physical, people
What are the benefits of security guards?	They are able to adapt and react to any condition or situation, are able to learn and recognize attack patterns, can adjust to a changing environment, and are able to make decisions and judgment calls.
What are the disadvantages of security guards?	Not all environments support them; prescreening, bonding, and training is not always effective; they are expensive, subject to illness, take vacations, and are vulnerable to social engineering.
What are the electrical terms and definitions you should be aware of?	Fault, blackout, sag, brownout, spike, surge, inrush, noise, clean, ground
What are the four types of water‐based fire suppression systems?	Wet pipe system, dry pipe system, deluge system, preaction system
What are the optimal environmental levels for rooms containing electronic equipment?	In addition to power considerations, maintaining the environment involves control over the HVAC mechanisms. Rooms containing primarily computers should be kept at 59 to 89.6 degrees Fahrenheit (15 to 32 degrees Celsius). Humidity in a computer room should be maintained between 20% and 80%. Too much humidity can cause corrosion. Too little humidity causes static electricity.
What are the security concerns of a wiring closet?	A wiring closet is where the networking cables for a whole building or just a floor are connected to other essential equipment, such as patch panels, switches, routers, LAN extenders, and backbone channels. Most of the security for a wiring closet focuses on preventing physical unauthorized access. If an unauthorized intruder gains access to the area, they may be able to steal equipment, pull or cut cables, or even plant a listening device.
What are the types of noise or interference and their sources?	Common mode noise is generated by the difference in power between the hot and ground wires. Traverse mode noise is generated by the difference in power between the hot and neutral wires.
What are the typical HVAC requirements for a computer room?	A computer room should be kept at 59 to 89.6 degrees Fahrenheit (15 to 32 degrees Celsius). Humidity in a computer room should be maintained at between 20 and 80 percent.
What disaster recovery system is often highly dependent on the public water supply?	Fire suppression system
What does a cable plant management policy address?	A cable plant is the collection of interconnected cables and intermediary devices (such as cross‐connects, patch panels, and switches) that establish the physical network. Elements of a cable plant include entrance facility, equipment room, backbone distribution system, telecommunications room, and horizontal distribution system.
What does EMI stand for, and what does it mean?	Electromagnetic interference refers to any noise generated by electric current and can affect any means of data transmission or storage that relies on electromagnetic transport mechanisms.
What does UPS stand for, and what does it mean?	An uninterruptible power supply (UPS) is a type of self‐charging battery that can be used to supply consistent clean power to sensitive equipment.
What is a Faraday cage?	A Faraday cage is an EM‐blocking enclosure, often a wire mesh that fully surrounds an area on all sides. This metal skin acts as an EMI absorbing capacitor (which is why it's named after Michael Faraday, a pioneer in the field of electromagnetism) that prevents electromagnetic signals (emanations) from exiting or entering the area that the cage encloses.
What is a security facility plan?	A secure facility plan outlines the security needs of your organization and emphasizes methods or mechanisms to provide security. Such a plan is developed through risk assessment and critical path analysis.
What is a Type C fire extinguisher used for, and what is it made of?	A Type C fire extinguisher is for use on electrical devices, thus the extinguishing agent is nonconductive, so the devices might use CO 2 , halon, or various alternatives.
What is aqueous film forming foam (AFFF)?	A type of firefighting foam used to suppress flammable liquid fires. It is a water‐based solution containing foaming agents, surfactants, and typically some fluorochemicals. AFFF is designed to quickly spread across the surface of flammable liquids, forming a thin film or barrier that suppresses the release of flammable vapors and prevents the fire from spreading.
What is Automatic REquest to eXit (AREX)?	A security system feature commonly employed in access control systems to automatically signal to unlock a secured door or gate when someone wishes to exit a protected area. This feature enhances security and convenience by automating the exit process.
What is CPTED?	Crime Prevention Through Environmental Design (CPTED) is based on the idea to structure the physical environment and surroundings to influence individual decisions that potential offenders make before committing any criminal acts. First‐generation CPTED addresses facility design, landscaping, entrance concepts, campus layouts, lighting, road placement, and traffic management of vehicles and those on foot, whereas second‐generation CPTED addresses social cohesion. community culture, connectivity, and threshold capacity.
What is emission security (EMSEC)?	Emission security (EMSEC) involves implementing various measures to prevent unauthorized individuals from obtaining valuable information that could be derived through intercepting and analyzing compromising emanations from cryptographic equipment, automated information systems (AISs), and telecommunications systems. EMSEC has mostly replaced TEMPEST.
What is important to know about site selection?	Site selection should be based on the security needs of the organization. Cost, location, and size are important, but addressing the requirements of security should always take precedence. The key elements in making a site selection are visibility, composition of the surrounding area, and area accessibility.
What is TEMPEST?	TEMPEST is a standard for the study and control of electronic signals produced by various types of electronic hardware, such as computers, televisions, phones, and so on. Its primary goal is to prevent EMI and RFI radiation from leaving a strictly defined area to eliminate the possibility of external radiation monitoring, eavesdropping, and signal sniffing. The term TEMPEST has become less common, and the corresponding security discipline is now emission security (EMSEC).
What is the functional order of controls when deployed for physical security?	The functional order of controls when deployed for physical security is deter, deny, detect, delay, determine, and decide.
What is the importance of fire detection and suppression?	Fire detection and suppression must not be overlooked. Protecting personnel from harm should always be the most important goal of any security or protection system. In addition to protecting people, fire detection and suppression is designed to keep damage caused by fire, smoke, heat, and suppression materials to a minimum, especially in regard to the IT infrastructure.
What is the most common cause of failure of a water‐based suppression system?	Human error
What is the most common cause of fires in a data center?	Overloaded electrical distribution outlets
What is the most important goal for all security solutions?	In all circumstances and under all conditions, the most important aspect of security is protecting people. Thus, preventing harm to people is the most important goal for all security solutions.
What is the practice of defense in depth called when it involves a multilayered security infrastructure that includes multiple combined individual applications and processes?	Concentric circle strategy
What is the primary purpose of lighting as a physical security device?	To discourage casual intruders, trespassers, prowlers, and would‐be thieves
What is white noise (as related to EMI)?	White noise simply means broadcasting false traffic at all times to mask and hide the presence of real emanations.
What type of damage occurs when static electricity discharges exceed 40 volts?	Destruction of sensitive circuits
What type of lock consists of three elements: an electromagnet, a credential reader, and a door‐closed sensor?	Electronic access control (EAC)
When one person follows another through a secured gate or doorway without presenting identification or otherwise being authenticated, what is this entry technique called?	Piggybacking
Where should fire detectors be placed?	In dropped ceilings, raised floors, server rooms, private offices and public areas, HVAC vents, elevator shafts, the basement, and so on
Why is there no security without physical security?	Without control over the physical environment, no amount of administrative or technical/logical access controls can provide adequate security. If a malicious person can gain physical access to your facility or equipment, they can do just about anything they want, from destruction to disclosure and alteration.
