At what layer does SSL and TLS function?	Transport layer (OSI layer 4)
What is DNS poisoning?	DNS poisoning is the act of falsifying the DNS information used by a client to reach a desired system. It can take place in many ways.
What is DNS?	The Domain Name System (DNS) is the hierarchical naming scheme used in both public and private networks. DNS links human‐friendly fully qualified domain names (FQDNs) and IP addresses together. DNSSEC and DoH are DNS security features.
What is DNSSEC?	DNSSEC (Domain Name System Security Extensions) is a security improvement to the existing DNS infrastructure. The primary function of DNSSEC is to provide reliable authentication between devices during DNS operations. DNSSEC has been implemented across a significant portion of the DNS system. Each DNS server is issued a digital certificate, which is then used to perform mutual certificate authentication.
What is encapsulation?	Encapsulation is the addition of a header, and possibly a footer, to the data received by each layer from the layer above before it's handed off to the layer below. The inverse action is deencapsulation.
What is FCoE?	Fibre Channel over Ethernet (FCoE) can be used to support Fibre Channel communications over the existing network infrastructure. FCoE is used to encapsulate Fibre Channel communications over Ethernet networks. It typically requires 10 Gbps Ethernet in order to support the Fibre Channel protocol.
What is InfiniBand over Ethernet (IBOE)?	InfiniBand over Ethernet (IBOE) refers to the encapsulation of InfiniBand traffic within Ethernet frames, allowing InfiniBand protocols to run over Ethernet networks. InfiniBand is a high‐performance and low‐latency interconnect technology commonly used in high‐performance computing (HPC) environments. IBOE provides a way to integrate InfiniBand technology into existing Ethernet infrastructures.
What is iSCSI?	Internet Small Computer System Interface (iSCSI) is a networking storage standard based on IP. This technology can be used to enable location‐independent file storage, transmission, and retrieval over LAN, WAN, or public Internet connections. iSCSI is often viewed as a low‐cost alternative to Fibre Channel.
What is MAC filtering?	A MAC filter is a list of authorized wireless client interface MAC addresses that is used by a WAP to block access to all nonauthorized devices. MAC filters may also be used on switches or other wired network management devices.
What is microsegmentation?	Microsegmentation is dividing up an internal network in numerous subzones, potentially as small as a single device, such as a high‐value server or even a client or endpoint device. Each zone is separated from the others by internal segmentation firewalls (ISFWs), subnets, or VLANs.
What is NAC?	Network Access Control (NAC) is a concept of controlling access to an environment through strict adherence to and implementation of security policy. The goals of NAC are to prevent/reduce zero‐day attacks, to enforce security policy throughout the network, and to use identities to perform access control.
What is NFC?	Near‐field communication (NFC) is a standard that establishes radio communications between devices in close proximity. It lets you perform a type of automatic synchronization and association between devices by touching them together or bringing them within inches of each other.
What is port security?	Port security can mean the physical control of all connection points, such as RJ‐45 wall jacks or device ports. Port security is the management of TCP and User Datagram Protocol (UDP) ports. Port security can also refer to the need to authenticate to a port before being allowed to communicate through or across the port (i.e., IEEE 802.1X).
What is RFID?	RFID (radio frequency identification) is a tracking technology based on the ability to power a radio transmitter using current generated in an antenna when placed in a magnetic field. RFID can be triggered/powered and read from a considerable distance away (often hundreds of meters).
What is SAE?	Simultaneous Authentication of Equals (SAE) performs a zero‐knowledge proof process known as Dragonfly Key Exchange, which is itself a derivative of Diffie–Hellman. The process uses a preset password and the MAC addresses of the client and AP to perform authentication and session key exchange.
What is SDV?	Software‐defined visibility (SDV) is a framework to automate the processes of network monitoring and response. The goal is to enable the analysis of every packet and make deep intelligence‐based decisions on forwarding, dropping, or otherwise responding to threats.
What is Secure Access Service Edge (SASE)?	Secure Access Service Edge (SASE) is a framework that converges network security functions with wide area networking (WAN) capabilities, catering to the dynamic, secure access needs of modern organizations. SASE is designed to respond to the evolving IT landscape marked by trends such as cloud adoption, a mobile workforce, and an increased emphasis on network security.
What is split‐DNS?	A split‐DNS is deploying a DNS server for public use and a separate DNS server for internal use. All data in the zone file on the public DNS server is accessible by the public via queries or probing. However, the internal DNS is for internal use only. Only internal systems are granted access to interact with the internal DNS server.
What is spread spectrum?	Spectrum‐use techniques manage the simultaneous use of the limited radio frequencies, including FHSS, DSSS, and OFDM.
What is Stateless Address Autoconfiguration (SLAAC)?	SLAAC is based on routers periodically sending Router Advertisement (RA) messages to the local network segment in order to facilitate stateless DHCPv6. The RA messages include information about the network prefix that devices should use when forming their IPv6 addresses. The second element used to craft an IPv6 address is the interface identifier, which is typically derived from the Media Access Control (MAC) address of the network interface on the device.
What is technology convergence?	The tendency for various technologies, solutions, utilities, and systems to evolve and merge over time. Often this results in multiple systems performing similar or redundant tasks or one system taking over the features and abilities of another. While in some instances this can result in improved efficiency and cost savings, it can also be an increased single point of failure and can become a more valuable target for hackers and intruders.
What is the APIPA range?	169.254.0.1 to 169.254.255.254 along with the default Class B subnet mask of 255.255.0.0
What is the difference between analog and digital signals?	Analog communications occur with a continuous signal that varies in frequency, amplitude, and so on. Digital communications occur through the use of a state change of on‐off pulses.
What is the difference between baseband and broadband communications?	Baseband technology uses a direct current to support a single communication channel. Broadband technology uses frequency modulation to support multiple simultaneous signals.
What is the difference between synchronous and asynchronous communications?	Synchronous communications rely on a timing or clocking mechanism. Asynchronous communications rely on a stop and start delimiter bit to manage transmission of data.
What is the evil twin attack?	Evil twin is an attack in which a bad actor operates a false access point that will automatically clone, or twin, the identity of an access point based on a client device's request to connect.
What is the IEEE standard for WiMax?	802.16
What is the IP header protocol field value for TCP? UDP? ICMP? IGMP?	6, 17, 1, 2
What is the minimum amount of information needed by a wireless client to connect to a network hosted by a wireless access point?	SSID
What is the minimum length of a TCP header?	20 bytes
What is the most significant bit in a string?	The leftmost bit
What is the primary security feature of Bluetooth pairing?	A four‐digit PIN
What is the primary weakness of satellite communications?	Large terrestrial footprint
What is the standard that wireless networking technology is based on?	802.11
What is the TCP/IP model?	Also known as DARPA, or the DoD model, the TCP/IP model is a protocol model derived from TCP/IP and has four layers: Application (also known as Process), Transport (also known as Host‐to‐Host), Internet (sometimes known as Internetworking), and Link (although Network Interface and sometimes Network Access are used).
What is the Wi‐Fi attack known as KRACK?	In late 2017, a concept of attack known as KRACK (Key Reinstallation AttaCKs) was disclosed that is able to corrupt the initial four‐way handshake between client and WAP into reusing a previously used key and in some cases use a key composed of only zeros.
What is typosquatting?	A practice employed to capture and redirect traffic when a user mistypes the domain name or IP address of an intended resource
What is VRF (virtual routing and forwarding)?	VRF is a technology that allows multiple instances of a routing table to coexist within a router. Each VRF instance operates as a separate and independent routing domain, enabling the isolation of routing information. It allows the same physical router to maintain separate routing tables for different VRF instances, preventing the leakage of routing information between them.
What is war chalking?	War chalking is a type of geek graffiti that some wireless hackers used during the early years of wireless (1997–2002). It's a way to physically mark an area with information about the presence of a wireless network.
What is war driving?	A collection of techniques to discover that a wireless network is present at a given location
What is WPS?	Wi‐Fi Protected Setup (WPS) is a security standard for wireless networks. It is intended to simplify the effort involved in adding new clients to a well‐secured wireless network. It operates by autoconnecting the first new wireless client to seek the network once the administrator triggered the feature by pressing the WPS button on the base station.
What makes the usable throughput of ISDN less than the stated bandwidth?	The D channel is used only for call management, not data.
What mode is used when a wireless network link is established without the use of an access point?	Ad hoc or peer‐to‐peer
What network device works primarily at the Application layer?	An Application layer gateway
What port is used by DHCP?	Port 68 for client request broadcast and port 67 for server point‐to‐point response
What port is used by IMAP?	143
What ports are used by DNS and for what purposes?	TCP 53 is used for zone transfers (which includes most DNS server to DNS server communications), and UDP 53 is used for queries (which is any non‐DNS system sending a query to a DNS server).
What protocol is used by ping , pathping , and traceroute ?	ICMP
What two forms of authentication are supported by 802.11?	Open System Authentication (OSA) and Shared Key Authentication (SKA)
What two ICMP type field values are employed in a successful ping activity?	8: echo request, 0: echo reply
What two items are required for infrastructure mode wireless networking?	Wireless access points and wireless clients
What type of cabling must be used to comply with building code safety requirements?	Plenum‐rated cable
What was the original IEEE standard for Bluetooth? And what is the current standard?	IEEE 802.15.1 originally, now Bluetooth SIG.
When a domain name is registered, where and how is it stored?	Every registered domain name has an assigned authoritative name server. The primary authoritative name server hosts the original zone file for the domain. Secondary authoritative name servers can be used to host read‐only copies of the zone file. A zone file is the collection of resource records or details about the specific domain. There are dozens of possible resource records.
