card_no,term,definition,sg_chapter,sg_chapter_title,domain,domain_title,confidence,placed_in,reason
16,Define cloud solution.,"A cloud solution is a deployment concept where an organization contracts with a third‐party cloud provider. The cloud provider owns, operates, and maintains the hardware and software. The organization pays a monthly fee (often based on a per‐user multiplier) to use the cloud solution.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,Cloud solution deployment architecture
17,"Define confinement, bounds, and isolation.",Confinement restricts a process to reading from and writing to specific resources (such as memory). Bounds is the limitation of authorization assigned to a process to limit the resources the process can interact with and the types of interactions allowed. Isolation is the means by which confinement is implemented through the use of bounds.,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Confinement bounds isolation design technique
18,Define COPE.,"The concept of COPE (company‐owned, personally enabled) is for the organization to purchase devices and provide them to employees. Each user is then able to customize the device and use it for both work activities and personal activities.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,COPE mobile device strategy
19,Define CYOD.,The concept of CYOD (choose your own device) provides users with a list of approved devices from which to select the device to implement. A CYOD can be implemented so that employees purchase their own devices from the approved list (a BYOD variant) or the company can purchase the devices for the employees (a COPE variant).,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,CYOD mobile device strategy
20,Define emanation security.,"Many electrical devices emanate electrical signals or radiation that can be intercepted by unauthorized individuals. These signals may contain confidential, sensitive, or private data. TEMPEST countermeasures to Van Eck phreaking (i.e., eavesdropping), include Faraday cages, white noise, control zones, and shielding.",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,Emanation security TEMPEST physical
21,Define hosted solution.,"A hosted solution is a deployment concept where the organization must license software and then operates and maintains the software. The hosting provider owns, operates, and maintains the hardware that supports the organization's software.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,Hosted solution deployment concept
22,Define on‐premise solution.,"An on‐premise solution is the traditional deployment concept in which an organization owns the hardware, licenses the software, and operates and maintains the systems on its own usually within their own building.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,MEDIUM,Ch 9,On-premise solution deployment concept
23,"Define PAP, CHAP, and EAP.",Password Authentication Protocol (PAP) transmits usernames and passwords in cleartext. Challenge Handshake Authentication Protocol (CHAP) performs authentication using a challenge‐response dialogue that cannot be replayed. Extensible Authentication Protocol (EAP) allows customized authentication security solutions.,13,Managing Identity and Authentication,D5,Identity and Access Management,MEDIUM,Ch 13,PAP CHAP EAP authentication protocols
24,Define proactive threat modeling.,"A proactive approach to threat modeling takes place during early stages of systems development, specifically during initial design and specifications establishment. This type of threat modeling is also known as a defensive approach. This method is based on predicting threats and designing in specific defenses during the coding and crafting process rather than relying on post‐deployment updates and patches.",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Proactive threat modeling
25,Define reactive threat modeling.,"A reactive approach to threat modeling takes place after a product has been created and deployed. This deployment could be in a test or laboratory environment or to the general marketplace. This type of threat modeling is also known as the adversarial approach. This technique of threat modeling is the core concept behind ethical hacking, penetration testing, source code review, and fuzz testing.",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Reactive threat modeling
26,Define security control assessment (SCA).,"A security control assessment (SCA) is the formal evaluation of a security infrastructure's individual mechanisms against a baseline or reliability expectation. The SCA can be performed in addition to or independently of a full security evaluation, such as a penetration test or vulnerability assessment.",15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Security control assessment SCA
27,Define Sensitive But Unclassified (SBU)?,Sensitive But Unclassified (SBU) is used for data that is for internal use or office use only. Often SBU is used to protect information that could violate the privacy rights of individuals.,5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,SBU classification level
28,Define social engineering and its common principles.,"Social engineering is a form of attack that exploits human nature and human behavior. The common social engineering principles are authority, intimidation, consensus, scarcity, familiarity, trust, and urgency.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Social engineering definition principles
29,Define the aspect of confidentiality known as concealment.,"Concealment is the act of hiding or preventing disclosure. Often concealment is viewed as a means of cover, obfuscation, or distraction.",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Confidentiality aspect concealment CIA
30,Define the aspect of confidentiality known as criticality.,"The level to which information is mission critical is its measure of criticality. The higher the level of criticality, the more likely the need to maintain the confidentiality of the information. High levels of criticality are essential to the operation or function of an organization.",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Confidentiality aspect criticality CIA
31,Define the aspect of confidentiality known as discretion.,Discretion is an act of decision whereby an operator can influence or control disclosure in order to minimize harm or damage.,1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Confidentiality aspect discretion CIA
32,Define the aspect of confidentiality known as isolation.,Isolation is the act of keeping something separated from others. Isolation can be used to prevent comingling of information or disclosure of information.,1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Confidentiality aspect isolation CIA
33,Define the aspect of confidentiality known as privacy.,"Privacy refers to keeping information confidential that is personally identifiable or that might cause harm, embarrassment, or disgrace to someone if revealed.",1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Confidentiality aspect privacy CIA
34,Define the aspect of confidentiality known as seclusion.,Seclusion refers to storing something in an out‐of‐the‐way location. This location can also provide strict access controls. Seclusion can help enforce confidentiality protections.,1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Confidentiality aspect seclusion CIA
35,Define the aspect of confidentiality known as secrecy.,Secrecy is the activity of keeping something a secret or preventing the disclosure of information.,1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Confidentiality aspect secrecy CIA
36,Define the aspect of confidentiality known as sensitivity.,Sensitivity refers to the quality of information that could cause harm or damage if disclosed. Maintaining confidentiality of sensitive information helps to prevent harm or damage.,1,Security Governance Through Principles and Policies,D1,Security and Risk Management,HIGH,Ch 1,Confidentiality aspect sensitivity CIA
37,Define the Bell–LaPadula model.,"Bell–LaPadula subjects have a clearance level that allows them to access only those objects with the corresponding classification levels, which protects confidentiality.",8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Bell-LaPadula security model
38,Define the Biba model.,Biba prevents subjects with lower security levels from writing to objects at higher security levels.,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Biba security model
39,Define the Clark–Wilson model.,"Clark–Wilson is an integrity model that relies on the access control triplet (i.e., subject/program/object).",8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Clark-Wilson security model
40,Define the Common Criteria.,The Common Criteria (ISO/IEC 15408) is a subjective security function evaluation tool that uses protection profiles (PPs) and security targets (STs) and assigns an evaluation assurance level (EAL).,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Common Criteria evaluation
41,Define the concept of access control matrix.,An access control matrix is a table of subjects and objects that indicates the actions or functions that each subject can perform on each object.,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,MEDIUM,Ch 8,Access control matrix security model
42,Define the concept of risk management?,"Risk management is the process of identifying factors that could damage or disclose data, evaluating those factors in light of data value and countermeasure cost, and implementing cost‐effective solutions for mitigating or reducing risk is known as risk management. By performing risk management, you lay the foundation for reducing risk overall.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Risk management concept definition
43,Define the Graham–Denning model.,Graham–Denning focuses on the secure creation and deletion of both subjects and objects.,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Graham-Denning security model
44,Define the information flow model.,"The information flow model is designed to prevent unauthorized, insecure, or restricted information flow.",8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Information flow security model
45,Define the noninterference model.,The noninterference model prevents the actions of one subject from affecting the system state or actions of another subject.,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Noninterference security model
46,Define the state machine model.,The state machine model ensures that all instances of subjects accessing objects are secure.,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,State machine security model
47,Define the take‐grant model.,The take‐grant model dictates how rights can be passed from one subject to another or from a subject to an object.,8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Take-grant security model
48,Define the various types of software license agreements.,"Perpetual licenses, subscription licenses, open source licenses, freeware, enterprise license agreements (ELAs), end‐user license agreements (EULAs), concurrent use licenses, named user licenses, and cloud services license agreements",4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,Software license agreement types
49,Define trust and assurance.,"A trusted system is one in which all protection mechanisms work together to process sensitive data for many types of users while maintaining a stable and secure computing environment. In other words, trust is the presence of a security mechanism or capability. Assurance is the degree of confidence in satisfaction of security needs. In other words, assurance is how reliable the security mechanisms are at providing security.",8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,MEDIUM,Ch 8,Trust and assurance security capabilities
50,Define WPA2.,IEEE 802.11i defined Wi‐Fi Protected Access 2 (WPA2). WPA2 supports two authentication options: preshared key (PSK) or personal (PER) and IEEE 802.1X or enterprise (ENT). WPA2 uses AES‐CCMP.,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,WPA2 wireless network standard
51,Define WPA3.,"Wi‐Fi Protected Access 3 (WPA3) uses 192‐bit AES CCMP encryption, whereas WPA3‐PER remains at 128‐bit AES CCMP. WPA3‐PER uses Simultaneous Authentication of Equals (SAE).",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,WPA3 wireless network standard
52,Define “trust but verify.”,“Trust but verify” is a traditional security approach of trusting subjects and devices within the company's security perimeter automatically. This type of security approach leaves an organization vulnerable to insider attacks and grants intruders the ability to easily perform lateral movement among internal systems.,14,Controlling and Monitoring Access,D5,Identity and Access Management,MEDIUM,Ch 14,Trust but verify zero-trust contrast
53,"Describe broadcast, multicast, and unicast communications.",A broadcast supports communications to all possible recipients. A multicast supports communications to multiple specific recipients. A unicast supports only a single communication to one recipient.,11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,Broadcast multicast unicast communications
54,Describe capture‐the‐flag (CTF) exercises.,"In a capture‐the‐flag (CTF) exercise, the red team begins with set objectives, such as disrupting a website, stealing a file from a secured system, or causing other security failures. The exercise is scored based on how many objectives the red team was able to achieve compared to how many the blue team prevented them from executing.",15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Capture-the-flag exercise red team
55,Describe large‐scale parallel data systems.,"Systems designed to perform numerous calculations simultaneously include SMP, AMP, and MPP. Grid computing is a form of parallel distributed processing that loosely groups a significant number of processing nodes to work toward a specific processing goal. Peer‐to‐peer (P2P) technologies are networking and distributed application solutions that share tasks and workloads among peers.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Large-scale parallel data systems HPC
56,Describe open and closed source.,"An open source solution is one where the source code, and other internal logic, is exposed to the public. A closed source solution is one where the source code and other internal logic is hidden from the public.",20,Software Development Security,D8,Software Development Security,MEDIUM,Ch 20,Open and closed source code
57,Describe open and closed systems.,"Open systems are designed using industry standards and are usually easy to integrate with other open systems. Closed systems are generally proprietary hardware and/or software. Their specifications are not normally published, and they are usually harder to integrate with other systems.",8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,MEDIUM,Ch 8,Open and closed systems design
58,Describe record retention policies.,"Record retention policies ensure that data is kept in a usable state while it is needed and destroyed when it is no longer needed. Many laws and regulations mandate keeping data for a specific amount of time, but in the absence of formal regulations, organizations specify the retention period within a policy. Audit trail data needs to be kept long enough to reconstruct past incidents, but the organization must identify how far back they want to investigate.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Record retention policy handling
59,Describe some JavaScript security concerns.,"JavaScript is the most widely used scripting language in the world and is embedded into HTML documents. Whenever you allow code from an unknown and thus untrusted source to execute on your system, you are putting your system at risk of compromise.",21,Malicious Code and Application Attacks,D8,Software Development Security,MEDIUM,Ch 21,JavaScript security mobile code concerns
60,Describe the concept of a corporate‐owned mobile strategy.,"A corporate‐owned mobile strategy is when the company purchases the mobile devices that can support security compliance with the security policy. These devices are to be used exclusively for company purposes, and users should not perform any personal tasks on the devices. This often requires workers to carry a second device for personal use.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Corporate-owned mobile device strategy
61,Describe the different characteristics of storage devices used by computers.,"Primary storage is the same as memory. Secondary storage consists of magnetic, flash, and optical media that must be first read into primary memory before the CPU can use the data. Random access storage devices can be read at any point, whereas sequential access devices require scanning through all the data physically stored before the desired location.",9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Storage device characteristics hardware
62,Describe the different types of memory used by a computer.,ROM is nonvolatile and can't be written to by the end user. Data can be written to PROM chips only once. EPROM/UVEPROM chips may be erased with ultraviolet light. EEPROM chips may be erased with electrical current. RAM chips are volatile and lose their contents when the computer is powered off.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Memory types ROM RAM hardware
63,Describe the models of systems development.,The waterfall model is a sequential development process that results in the development of a finished product. Developers may step back only one phase in the process if errors are discovered. The spiral model uses several iterations of the waterfall model to produce a number of fully specified and tested prototypes. Agile development models place an emphasis on the needs of the customer and quickly developing new functionality that meets those needs in an iterative fashion.,20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,Software development models waterfall/agile/spiral
64,Describe the purpose of software development maturity models.,"Maturity models help software organizations improve the maturity and quality of their software processes by implementing an evolutionary path from ad hoc, chaotic processes to mature, disciplined software processes.",20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,Software maturity models purpose
65,Describe the three aspects of test communications.,"Before embarking on any test, it's essential to inform all stakeholders about what to expect. This includes giving them an idea of the scheduled timing. During the test, especially ones that might disrupt normal operations, regular updates are crucial. Post‐test, a debriefing session provides an opportunity for discussing the outcomes of the test, highlighting both the successes and pinpointing areas that need improvement.",18,Disaster Recovery Planning,D7,Security Operations,MEDIUM,Ch 18,Test communications DR testing stakeholders
66,"Explain the cryptographic attacks: adversary‐in‐the‐middle (AitM), birthday attack, and replay attack.","The adversary‐in‐the‐middle (AitM), man‐in‐the‐middle (MitM), or on‐path, attack fools both parties into communicating with the attacker instead of directly with each other. The birthday attack is an attempt to find collisions in hash functions. The replay attack is an attempt to reuse authentication requests.",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,Cryptographic attacks AitM birthday replay
67,"Explain the cryptographic attacks: ciphertext‐only attacks, brute‐force attack, frequency analysis, and known plain text, chosen ciphertext, and chosen plain‐text attacks.","Ciphertext‐only attacks require access only to the ciphertext of a message. One example of a ciphertext‐only attack is the brute‐force attack, which attempts to randomly find the correct cryptographic key. Frequency analysis, another ciphertext‐only attack, counts characters in the ciphertext to reverse substitution ciphers. Known plain text, chosen ciphertext, and chosen plain‐text attacks require the attacker to have some extra information in addition to the ciphertext.",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,Cryptographic attacks ciphertext brute-force
68,"Explain the differences between multitasking, multicore, multiprocessing, multiprogramming, and multithreading.",Multitasking is the simultaneous execution of more than one application and is managed by the OS. Multicore is the presence of multiple execution cores in a single CPU. Multiprocessing is the use of more than one processor to increase computing power. Multiprogramming is similar to multitasking and involves the pseudo‐simultaneous execution of two tasks on a single processor coordinated by the OS as a way to increase operational efficiency. Multithreading permits multiple concurrent tasks to be performed within a single process.,9,"Security Vulnerabilities, Threats, and Countermeasures",D3,Security Architecture and Engineering,HIGH,Ch 9,Multitasking multicore multiprocessing CPU
69,Explain why the separation of duties and responsibilities is a common security practice.,It prevents any single subject from being able to circumvent or deactivate security mechanisms.,16,Managing Security Operations,D7,Security Operations,MEDIUM,Ch 16,Separation of duties operations practice
70,Highly __________ objects are not as dependent on other objects.,cohesive,20,Software Development Security,D8,Software Development Security,MEDIUM,Ch 20,Cohesive objects OOP concept
71,How are audit trails used?,"To reconstruct an event, to extract information about an incident, to prove or disprove culpability",19,Investigations and Ethics,D7,Security Operations,MEDIUM,Ch 19,Audit trails reconstruct event investigation
72,How are digital signatures generated and verified?,"To digitally sign a message, first use a hashing function to generate a message digest; then encrypt the digest with your private key. To verify the digital signature on a message, decrypt the signature with the sender's public key and then compare the message digest to one you generate yourself. If they match, the message is authentic.",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,Digital signatures generation verification
73,How are domains related to decentralized access control?,A domain is a realm of trust that shares a common security policy. This is a form of decentralized access control.,14,Controlling and Monitoring Access,D5,Identity and Access Management,MEDIUM,Ch 14,Domains decentralized access control
74,"How are PVC, SVC, DTE, and DCE used in a WAN network link?",WAN network links require the use of a DTE and a DCE at each connection point. PVC is always available; SVC is established using the best paths currently available.,12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,PVC SVC DTE DCE WAN link
75,How are security and illegal activities related?,"A secure environment should provide mechanisms to prevent the committal of illegal activities, which are actions that violate a legal restriction, regulation, or requirement.",19,Investigations and Ethics,D7,Security Operations,MEDIUM,Ch 19,Security and illegal activities legal
76,How can cryptosystems be used to achieve authentication goals?,"Authentication provides assurances as to the identity of a user. One possible scheme that uses authentication is the challenge‐response protocol, in which the remote user is asked to encrypt a message using a key known only to the communicating parties. Authentication can be achieved with both symmetric and asymmetric cryptosystems.",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,MEDIUM,Ch 7,Cryptosystems authentication challenge-response
77,How can you protect data against fraud and theft?,"The use of access controls (auditing and monitoring, for example) reduce fraud and theft.",17,Preventing and Responding to Incidents,D7,Security Operations,MEDIUM,Ch 17,Access controls reduce fraud theft
78,How do antivirus software packages detect known viruses?,Most antivirus programs use signature‐based detection algorithms to look for telltale patterns of known viruses. This makes it essential to periodically update virus definition files in order to maintain protection against newly authored viruses as they emerge. Behavior‐based detection monitors target users and systems for unusual activity and either blocks it or flags it for investigation.,21,Malicious Code and Application Attacks,D8,Software Development Security,HIGH,Ch 21,Antivirus signature-based detection
79,How do logical access controls protect assets?,"Logical access controls include authentication, authorization, and permissions. They limit who can access information, settings, and use of information, systems, devices, facilities, applications, and services.",13,Managing Identity and Authentication,D5,Identity and Access Management,MEDIUM,Ch 13,Logical access controls authentication authorization
80,How do physical access controls protect assets?,"Physical access controls are those you can touch, and they directly protect systems, devices, and facilities by controlling access and controlling the environment. Indirectly, they also protect information and applications by limiting physical access.",10,Physical Security Requirements,D3,Security Architecture and Engineering,MEDIUM,Ch 10,Physical access controls protect assets
81,How do salt and pepper thwart password attacks?,"Salting adds additional bits to a password before hashing it and helps thwart rainbow table attacks. Some algorithms, such as Argon2, bcrypt, and Password‐Based Key Derivation Function 2 (PBKDF2), add the salt and repeat the hashing functions many times. Salts are stored in the same database as the hashed password. A pepper is a large constant number used to increase the security of the hashed password further, and it is stored somewhere outside the database holding the hashed passwords.",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,MEDIUM,Ch 7,Salt/pepper crypto countermeasure; consolidated
82,How do salts improve the security of password hashing?,"When straightforward hashing is used to store passwords in a password file, attackers may use rainbow tables of precomputed values to identify commonly used passwords. Adding salts to the passwords before hashing them reduces the effectiveness of rainbow table attacks. Common password hashing algorithms that use key stretching to further increase the difficulty of attack include PBKDF2, bcrypt, and scrypt.",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,MEDIUM,Ch 7,Salt password hashing; consolidated crypto family
83,How do you protect your system from a malicious code incident?,Make sure your security policy restricts the introduction of untested files to your computer system. Have a good scanner with an up‐to‐date signature database. Frequently scan all files. Implement whitelisting or allow listing of applications.,21,Malicious Code and Application Attacks,D8,Software Development Security,HIGH,Ch 21,Protect against malicious code incident
84,How does identification work?,"Identification is the process by which a subject professes an identity and accountability is initiated. A subject must provide an identity to a system to start the process of authentication, authorization, and accountability/accounting.",13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,Identification process AAA
85,How does penetration testing improve your system's security?,Penetration testing allows you to more accurately judge the security mechanisms deployed by an organization by using the tools and techniques an attacker might use.,15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,Penetration testing improves security
86,How does the teardrop attack operate?,It sends overlapping packet fragments to the victim machine.,12,Secure Communications and Network Attacks,D4,Communication and Network Security,HIGH,Ch 12,Teardrop attack overlapping fragments
87,How is abstraction used?,"Abstraction is used to collect similar elements into groups, classes, or roles that are assigned security controls, restrictions, or permissions.",8,"Principles of Security Models, Design, and Capabilities",D3,Security Architecture and Engineering,HIGH,Ch 8,Abstraction grouping security controls
88,How is accountability maintained?,Accountability is maintained for individual subjects through the use of auditing. Logs record user activities and users can be held accountable for their logged actions. This directly promotes good user behavior and compliance with the organization's security policy.,13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,Accountability maintained through auditing
89,How is the ticket‐granting ticket used by Kerberos generated?,"The user's password is hashed, and a timestamp is added.",13,Managing Identity and Authentication,D5,Identity and Access Management,HIGH,Ch 13,Kerberos ticket-granting ticket generation
90,How long does trade secret protection last?,Indefinitely,4,"Laws, Regulations, and Compliance",D1,Security and Risk Management,HIGH,Ch 4,Trade secret protection lasts indefinitely
91,How long is a UDP header?,8 bytes,11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,UDP header 8 bytes
92,How many primary keys may each database table have?,One,20,Software Development Security,D8,Software Development Security,HIGH,Ch 20,Database table one primary key
93,How many rounds of encryption does DES utilize?,16,6,Cryptography and Symmetric Key Algorithms,D3,Security Architecture and Engineering,HIGH,Ch 6,DES 16 rounds symmetric
94,How many sockets does TCP have?,"65, 536 (2^16) sockets (aka ports), numbered from 0 to 65,535",11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,TCP 65536 sockets ports
95,"How might you describe a site housed in self‐contained transportable units with all the control, hardware, and software elements necessary to establish an operational, safe computing environment?",Mobile site,18,Disaster Recovery Planning,D7,Security Operations,HIGH,Ch 18,Mobile site recovery transportable
96,How should an organization approach the management of sensitive information?,"Sensitive information is any type of classified information, and proper management helps prevent unauthorized disclosure resulting in a loss of confidentiality. Proper management includes marking, handling, storing, and destroying sensitive information. The two areas where organizations often miss the mark are adequately protecting backup media holding sensitive information and sanitizing media or equipment when it is at the end of its lifecycle.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Sensitive information management handling
97,How should an organization handle employee transfers?,"Personnel transfers may be treated as a fire/rehire rather than a personnel move. This depends on the organization's policies and the means they use to manage this change. Some of the elements that go into choosing the procedure include whether the same user account will be retained, if their clearance will be adjusted, if their new work responsibilities are similar to the previous position, and if a “clean slate” account is required for auditing purposes in the new job position.",2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,Employee transfers personnel security
98,How should an organization incorporate security into the procurement and vendor governance process?,The expanded use of cloud services by many organizations requires added attention to conducting reviews of information security controls during the vendor selection process and as part of ongoing vendor governance.,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,Procurement vendor governance security
99,How should an organization prepare for managing water leakage and flooding?,"Water leakage and flooding should be addressed in your environmental safety policy and procedures. Plumbing leaks are not an everyday occurrence, but when they occur, they often cause significant damage. Water and electricity don't mix. If your computer systems come in contact with water, especially while they are operating, damage is sure to occur. Whenever possible, locate server rooms and critical computer equipment away from any water source or transport pipes.",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,Water leakage flooding physical environment
100,How should visitors be handled at a secure facility?,"If a facility employs restricted areas to control physical security, then a mechanism to handle visitors is required. Often an escort is assigned to visitors, and their access and activities are monitored closely. Failing to track the actions of outsiders when they are granted access to a protected area can result in malicious activity against the most protected assets.",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,Visitor handling secure facility physical
